"username","gender","location","Location_Name"
"LauNightray",NA,"PRT","Portugal"
"Tim-san","Male","TUR","Turkey"
"endriu1145","Male","POL","Poland"
"air13","Female","PHL","Philippines"
"corbsn","Male","DEU","Germany"
"victorrocha","Male","BRA","Brazil"
"kokkaku","Male","PRT","Portugal"
"Kezzie","Male","SGP","Singapore"
"Gyuma21","Male","USA","United States"
"walker6","Male","AUS","Australia"
"Bagyra","Female","LTU","Lithuania"
"parallelzero","Male","CAN","Canada"
"zahraayam95","Female","IDN","Indonesia"
"don-vvv","Male","PRT","Portugal"
"Mycelis_Tsukiyo","Female","DEU","Germany"
"AssTro","Male","CHL","Chile"
"naisho83","Female","NLD","Netherlands"
"pinUp","Female","USA","United States"
"NyoNyokki","Female","RUS","Russia"
"joseluisshooter","Male","ESP","Spain"
"MaidYui","Female","USA","United States"
"Cah-Chan","Female","BRA","Brazil"
"Animeniac","Male","BGR","Bulgaria"
"Lulu_Lockhart","Female","POL","Poland"
"frankelthemouse","Female","AUS","Australia"
"LordKail","Male","EST","Estonia"
"TheKirary","Male","IDN","Indonesia"
"Kreilon",NA,"CHE","Switzerland"
"Fii-chan","Female","DNK","Denmark"
"WnHtim","Male","CHE","Switzerland"
"neji3994","Male","BRA","Brazil"
"IceWolf","Female","EST","Estonia"
"Pamy-chan","Female","BRA","Brazil"
"BadOnion","Male","CAN","Canada"
"Inukko","Female","LTU","Lithuania"
"anime_luver123","Male","AUS","Australia"
"Evelina","Female","LTU","Lithuania"
"Ryouichi","Male","JEY","Jersey"
"animefun1995","Male","GRC","Greece"
"ancamc27","Female","ROU","Romania"
"JimmY_MAL","Male","IND","India"
"Rimzi","Female","POL","Poland"
"necos","Male","NOR","Norway"
"Glaceon","Male","AUS","Australia"
"Zeino","Female","TUR","Turkey"
"igorsandman","Male","BEL","Belgium"
"Cafer","Male","POL","Poland"
"Zenthir","Male","GBR","United Kingdom"
"Nanlin","Female","JPN","Japan"
"stellababe","Female","CAN","Canada"
"Grinder","Male","DEU","Germany"
"Samus","Female","DEU","Germany"
"Sh1k1","Male","DOM","Dominican Republic"
"Gucia","Female","POL","Poland"
"Untopic","Male","NOR","Norway"
"pmatulka","Male","POL","Poland"
"fairyglen","Female","NLD","Netherlands"
"Stray_Star","Female","GRC","Greece"
"liadesu","Female","BGR","Bulgaria"
"SheikPedro","Male","ESP","Spain"
"Roke","Male","GEO","Georgia"
"rikdegraaff","Male","NLD","Netherlands"
"NaruTony","Male","IND","India"
"NeoQueenSerena","Female","USA","United States"
"Shu0chan","Female","ISR","Israel"
"Visionz7","Male","BEL","Belgium"
"Haru_Haru","Female","RUS","Russia"
"ZetaAspect",NA,"USA","United States"
"jsebassalazarg","Male","COL","Colombia"
"Fireborn","Male","BGR","Bulgaria"
